This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	33.000092
0.550000	33.000092
1.100000	33.000092
1.650000	33.000092
2.200000	40.998596
2.750000	42.999741
3.300000	40.998596
3.850000	42.999741
4.400000	42.999741
4.950000	42.999741
5.500000	42.999741
6.050000	42.999741
6.600000	33.000092
7.150000	33.000092
7.700000	33.000092
8.250000	83.001373
8.800000	83.001373
9.350000	84.000427
9.900000	84.000427
10.450000	84.000427
11.000000	84.000427
11.550000	84.000427
12.100000	84.000427
12.650000	84.000427
13.200000	84.000427
13.750000	83.001373
14.300000	42.999741
14.850000	42.999741
15.400000	27.998749
15.950000	27.998749
16.500000	23.999496
17.050000	27.998749
17.600000	27.998749
18.150000	26.000641
18.700000	23.000443
19.250000	19.001190
19.800000	19.001190
20.350000	26.000641
20.900000	26.000641
21.450000	26.000641
22.000000	26.000641
22.550000	26.000641
23.100000	23.000443
23.650000	23.000443
24.200000	10.999649
24.750000	19.001190
25.300000	10.999649
25.850000	10.999649
26.400000	10.999649
26.950000	10.999649
27.500000	7.999451
28.050000	7.999451
28.600000	7.999451
29.150000	7.999451
29.700000	10.999649
30.250000	10.999649
30.800000	10.999649
31.350000	10.999649
31.900000	10.999649
32.450000	7.999451
33.000000	7.999451
33.550000	7.999451
34.100000	7.999451
34.650000	7.999451
35.200000	7.999451
35.750000	7.999451
36.300000	7.999451
36.850000	7.999451
37.400000	7.999451
37.950000	7.999451
38.500000	7.999451
39.050000	7.999451
39.600000	7.999451
40.150000	10.999649
40.700000	11.998703
41.250000	13.999847
41.800000	13.999847
42.350000	13.999847
42.900000	13.999847
43.450000	13.999847
44.000000	13.999847
44.550000	13.999847
45.100000	13.999847
45.650000	13.999847
46.200000	13.999847
46.750000	13.999847
47.300000	19.001190
47.850000	19.001190
48.400000	19.001190
48.950000	19.001190
49.500000	19.001190
50.050000	19.001190
50.600000	19.001190
51.150000	19.001190
51.700000	16.500519
52.250000	13.999847
52.800000	19.001190
53.350000	19.001190
53.900000	19.001190
54.450000	19.001190
55.000000	19.001190
55.550000	19.001190
56.100000	19.001190
56.650000	19.001190
57.200000	19.001190
57.750000	20.000244
58.300000	20.000244
58.850000	20.000244
59.400000	20.000244
59.950000	20.000244
60.500000	20.000244
61.050000	20.000244
61.600000	20.000244
62.150000	20.000244
62.700000	20.000244
63.250000	20.000244
63.800000	20.000244
64.350000	20.000244
64.900000	20.000244
65.450000	20.000244
66.000000	20.000244
66.550000	20.000244
67.100000	20.000244
67.650000	13.999847
68.200000	13.999847
68.750000	13.999847
69.300000	13.999847
69.850000	11.998703
70.400000	11.998703
70.950000	11.998703
71.500000	11.998703
72.050000	11.998703
72.600000	11.998703
73.150000	11.998703
73.700000	11.998703
74.250000	11.998703
74.800000	13.500320
75.350000	13.999847
75.900000	13.999847
76.450000	13.999847
77.000000	13.999847
77.550000	13.999847
78.100000	13.999847
78.650000	13.999847
79.200000	13.999847
79.750000	13.999847
80.300000	13.999847
80.850000	13.999847
81.400000	13.999847
81.950000	13.999847
82.500000	13.999847
83.050000	13.999847
83.600000	13.999847
84.150000	13.999847
84.700000	13.999847
85.250000	13.999847
85.800000	13.999847
86.350000	13.999847
86.900000	13.999847
87.450000	13.999847
88.000000	13.999847
88.550000	13.999847
89.100000	11.998703
89.650000	11.998703
90.200000	3.001144
90.750000	3.001144
91.300000	3.001144
91.850000	3.001144
92.400000	3.001144
92.950000	3.001144
93.500000	3.001144
94.050000	3.001144
94.600000	13.999847
95.150000	13.999847
95.700000	17.999100
96.250000	17.999100
96.800000	17.999100
97.350000	17.999100
97.900000	17.999100
98.450000	17.999100
99.000000	17.999100
99.550000	17.999100
100.100000	11.998703
100.650000	11.998703
101.200000	11.998703
101.750000	11.998703
102.300000	11.998703
102.850000	11.998703
103.400000	3.001144
103.950000	3.001144
104.500000	3.001144
105.050000	3.001144
105.600000	3.001144
106.150000	3.001144
106.700000	3.001144
107.250000	3.001144
107.800000	3.001144
108.350000	3.001144
108.900000	3.001144
109.450000	3.001144
110.000000	3.001144
110.550000	3.001144
