This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	323.179077
0.550000	415.563568
1.100000	507.838593
1.650000	640.238647
2.200000	797.838074
2.750000	955.795715
3.300000	1138.305908
3.850000	1224.491333
4.400000	1308.378174
4.950000	1413.439453
5.500000	1455.763550
6.050000	1525.680054
6.600000	1579.969360
7.150000	1628.303467
7.700000	1657.880981
8.250000	1678.697266
8.800000	1691.727295
9.350000	1751.021729
9.900000	1766.882690
10.450000	1808.017700
11.000000	1784.654053
11.550000	1738.489258
12.100000	1679.040527
12.650000	1642.592285
13.200000	1592.074097
13.750000	1534.013428
14.300000	1502.416016
14.850000	1486.674438
15.400000	1475.236450
15.950000	1481.724121
16.500000	1473.952881
17.050000	1470.529907
17.600000	1460.091919
18.150000	1469.703979
18.700000	1459.420288
19.250000	1438.250854
19.800000	1413.509155
20.350000	1335.264160
20.900000	1289.671387
21.450000	1259.496826
22.000000	1238.038818
22.550000	1235.377075
23.100000	1215.013550
23.650000	1221.670410
24.200000	1223.695312
24.750000	1261.685913
25.300000	1282.735962
25.850000	1289.323120
26.400000	1293.104370
26.950000	1227.252563
27.500000	1194.709839
28.050000	1166.992920
28.600000	1150.122070
29.150000	1143.937866
29.700000	1122.186279
30.250000	1119.385254
30.800000	1123.624146
31.350000	1140.625488
31.900000	1158.810669
32.450000	1201.756836
33.000000	1219.044556
33.550000	1219.552979
34.100000	1232.373657
34.650000	1242.408203
35.200000	1255.724121
35.750000	1278.431641
36.300000	1295.152344
36.850000	1285.290283
37.400000	1260.074829
37.950000	1221.860474
38.500000	1191.481079
39.050000	1182.046631
39.600000	1198.469116
40.150000	1199.403320
40.700000	1207.583862
41.250000	1216.697388
41.800000	1224.854126
42.350000	1242.176147
42.900000	1246.786377
43.450000	1315.072388
44.000000	1439.380127
44.550000	1470.713745
45.100000	1482.791382
45.650000	1489.036255
46.200000	1509.662476
46.750000	1543.023560
47.300000	1585.843628
47.850000	1683.963257
48.400000	1762.472900
48.950000	1788.020020
49.500000	1804.534912
50.050000	1849.849121
50.600000	1861.822266
51.150000	1836.477661
51.700000	1769.814941
52.250000	1706.300903
52.800000	1710.048950
53.350000	1719.768677
53.900000	1700.192627
54.450000	1655.813110
55.000000	1631.449097
55.550000	1616.380737
56.100000	1585.114380
56.650000	1604.325195
57.200000	1598.076660
57.750000	1569.827026
58.300000	1453.151978
58.850000	1433.432739
59.400000	1441.738525
59.950000	1439.890259
60.500000	1451.436157
61.050000	1434.959351
61.600000	1431.927368
62.150000	1429.475708
62.700000	1419.617065
63.250000	1427.685913
63.800000	1362.136230
64.350000	1355.789917
64.900000	1346.558960
65.450000	1333.702881
66.000000	1334.075928
66.550000	1322.686890
67.100000	1327.259888
67.650000	1334.161987
68.200000	1357.173950
68.750000	1468.374390
69.300000	1568.372803
69.850000	1601.659424
70.400000	1630.024902
70.950000	1633.893799
71.500000	1593.865967
72.050000	1515.290405
72.600000	1460.204956
73.150000	1427.653320
73.700000	1458.566895
74.250000	1494.284058
74.800000	1513.083496
75.350000	1487.883545
75.900000	1469.599976
76.450000	1427.734863
77.000000	1342.958008
77.550000	1305.046509
78.100000	1274.289062
78.650000	1219.948486
79.200000	1209.304199
79.750000	1181.571655
80.300000	1194.360596
80.850000	1202.559692
81.400000	1213.694214
81.950000	1213.935913
82.500000	1188.403442
83.050000	1185.614258
83.600000	1185.590942
84.150000	1244.885010
84.700000	1343.997314
85.250000	1428.566284
85.800000	1483.506836
86.350000	1540.465576
86.900000	1607.919312
87.450000	1646.333618
88.000000	1649.648804
88.550000	1651.934326
89.100000	1635.175537
89.650000	1552.518311
90.200000	1444.453857
90.750000	1337.474976
91.300000	1281.364380
91.850000	1278.462646
92.400000	1274.135742
92.950000	1311.601440
93.500000	1330.422607
94.050000	1388.985962
94.600000	1428.995483
95.150000	1472.440186
95.700000	1542.884277
96.250000	1604.127075
96.800000	1617.806763
97.350000	1617.806763
97.900000	1594.949707
98.450000	1471.649292
99.000000	1389.945435
99.550000	1257.089355
100.100000	1238.615356
100.650000	1199.577637
101.200000	1190.854248
101.750000	1174.296631
102.300000	1168.776489
102.850000	1209.855225
103.400000	1264.102661
103.950000	1339.064941
104.500000	1398.864502
105.050000	1355.502197
105.600000	1331.196777
106.150000	1476.689209
106.700000	1501.356201
107.250000	1501.356201
107.800000	1562.553223
108.350000	1465.355713
108.900000	1421.355103
109.450000	1382.687744
110.000000	1386.146118
110.550000	1386.146118
