This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter head coordinates:
	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725		
time	X	Y	Z (fit width)
0.000000	77.000000	89.099998	0.418374
0.005000	77.550003	88.550003	0.000000
0.010000	76.449997	94.050003	4.338144
0.015000	79.199997	91.849998	0.000000
0.020000	78.650002	90.750000	0.000000
0.025000	79.199997	90.750000	0.000000
0.030000	79.199997	90.750000	0.000000
0.035000	79.750000	92.400002	0.000000
0.040000	79.199997	89.099998	0.000000
0.045000	78.650002	88.550003	0.083404
0.050000	78.650002	88.000000	13.089920
0.055000	78.650002	88.000000	0.487751
0.060000	79.199997	88.000000	3.961456
0.065000	78.650002	88.550003	0.000000
0.070000	78.650002	88.550003	11.050715
0.075000	78.650002	88.000000	14.845690
0.080000	78.650002	88.000000	7.035932
0.085000	78.650002	88.550003	0.000000
0.090000	78.099998	88.000000	5.539025
0.095000	75.349998	94.050003	9.436458
0.100000	75.900002	95.150002	1.723021
0.105000	71.806938	91.606941	1.154001
0.110000	77.550003	88.550003	7.588910
0.115000	78.099998	88.550003	5.168655
0.120000	77.550003	88.550003	4.517331
0.125000	77.000000	96.250000	0.775799
0.130000	77.550003	88.550003	6.762103
0.135000	77.550003	88.000000	7.950341
0.140000	77.000000	87.449997	5.194808
0.145000	77.550003	88.550003	0.763031
0.150000	77.000000	88.000000	8.050116
0.155000	77.550003	89.099998	326.037811
0.160000	77.550003	88.550003	5.919792
0.165000	78.099998	88.550003	6.661624
0.170000	78.099998	88.550003	6.720039
0.175000	78.099998	88.000000	3.717502
0.180000	78.650002	89.099998	10.048572
0.185000	78.650002	89.650002	10.010887
0.190000	78.650002	89.099998	7.453125
0.195000	78.650002	88.000000	2.995337
0.200000	78.650002	89.099998	5.285304
0.205000	94.599998	51.700001	0.613889
0.210000	93.550079	80.609970	1.091541
0.215000	76.449997	97.328445	0.835948
0.220000	78.650002	88.550003	3.052765
0.225000	78.650002	89.099998	3.608642
0.230000	78.099998	88.550003	3.510194
0.235000	78.099998	88.550003	3.203854
0.240000	75.349998	97.900002	0.798846
0.245000	77.550003	88.000000	2.576961
0.250000	76.449997	97.900002	0.818502
0.255000	106.150002	50.049999	0.500720
0.260000	76.467545	98.824577	0.814593
0.265000	76.449997	88.000000	2.945919
0.270000	76.449997	88.000000	2.707703
0.275000	76.449997	88.000000	2.826282
0.280000	89.099998	89.099998	2.152673
0.285000	76.449997	88.000000	2.518090
0.290000	76.449997	88.550003	2.994858
0.295000	85.250000	78.650002	9.742709
0.300000	77.000000	88.550003	2.758154
0.305000	77.550003	89.099998	3.417139
0.310000	89.650002	96.250000	2.486139
0.315000	96.250000	33.549999	0.883623
0.320000	72.329590	107.968040	0.517298
0.325000	82.344910	66.596527	0.453799
0.330000	137.500000	64.900002	0.188395
0.335000	77.118195	111.268852	1.326208
0.340000	67.650002	81.949997	2.120090
0.345000	75.349998	98.817329	0.805052
0.350000	73.867126	99.132187	1.018559
0.355000	70.658653	97.349998	1.155251
0.360000	78.099998	89.650002	2.634957
0.365000	70.808212	97.307465	1.078702
0.370000	71.943840	94.054268	0.835767
0.375000	76.187218	110.993050	1.129131
0.380000	40.700001	70.400002	-1.037530
0.385000	76.478653	100.195503	0.869097
0.390000	122.650002	75.349998	0.299230
0.395000	52.799999	72.050003	1.110472
0.400000	87.529305	91.802933	1.505082
0.405000	89.650002	94.050003	2.933080
0.410000	85.809486	20.564962	4.371260
0.415000	75.900002	89.099998	1.838002
0.420000	76.449997	89.650002	2.625406
0.425000	78.650002	115.500000	1.214502
0.430000	91.849998	108.349998	0.597680
0.435000	67.650002	112.750000	1.818621
0.440000	58.299999	41.250000	3.982847
0.445000	33.316914	82.559875	0.727906
0.450000	75.900002	113.849998	1.857214
0.455000	76.846260	114.980743	0.389472
0.460000	60.500000	111.099998	0.336296
0.465000	72.050003	112.199997	0.898646
0.470000	63.203930	45.135830	0.322546
0.475000	72.029160	109.563866	1.752850
0.480000	49.500000	60.500000	1.985587
0.485000	71.703072	94.938461	0.912648
0.490000	53.349998	75.349998	0.521698
0.495000	46.750000	78.650002	1.956222
0.500000	70.176476	100.099998	1.045251
0.505000	39.599998	75.349998	1.172165
0.510000	77.550003	114.949997	0.958695
0.515000	66.179993	105.761993	0.655033
0.520000	106.150002	85.800003	0.828046
0.525000	75.900002	115.500000	0.534397
0.530000	48.950001	93.500000	1.196542
0.535000	103.400002	57.750000	1.884538
0.540000	72.050003	112.750000	0.203314
0.545000	116.050003	49.500000	0.984001
0.550000	92.400002	100.099998	0.337149
0.555000	77.513527	114.897896	0.940121
0.560000	94.599998	69.300003	0.071850
0.565000	105.788795	51.624481	0.760524
0.570000	81.400002	39.049999	1.236933
0.575000	115.500000	113.300003	0.551055
0.580000	72.050003	113.300003	0.578126
0.585000	62.572701	115.625671	0.184953
0.590000	7.150000	92.949997	0.000000
0.595000	45.099998	77.000000	0.537315
0.600000	62.150002	106.699997	0.509459
0.605000	52.250000	55.549999	0.514646
0.610000	69.849998	102.379555	0.724102
0.615000	53.349998	91.300003	0.483899
0.620000	7.150000	72.050003	0.554905
0.625000	118.800003	51.700001	-0.247858
0.630000	66.952469	114.217903	1.253128
0.635000	52.799999	88.550003	1.241676
0.640000	67.650002	42.349998	0.820578
0.645000	69.247765	113.924629	0.123098
0.650000	22.549999	90.199997	0.551907
0.655000	77.550003	114.949997	1.803881
0.660000	76.816666	137.683334	0.350854
0.665000	0.000000	77.000000	0.238900
0.670000	69.300003	18.150000	0.809783
0.675000	100.122810	23.230118	0.684524
0.680000	91.300003	20.900000	0.359817
0.685000	24.465279	68.978127	3.584831
0.690000	87.449997	72.050003	0.252260
0.695000	61.049999	104.500000	0.588125
0.700000	84.150002	31.900000	0.538970
0.705000	57.750000	79.750000	0.340532
0.710000	96.250000	45.099998	1.076576
0.715000	55.000000	12.100000	2.148090
0.720000	75.349998	55.549999	0.874048
0.725000	50.599998	78.650002	0.247669
0.730000	46.200001	18.700001	1.010624
0.735000	78.650002	44.549999	0.523828
0.740000	40.404991	66.845009	0.177893
0.745000	35.200001	5.500000	1.913883
0.750000	96.800003	12.100000	0.511025
0.755000	95.150002	61.599998	1.271820
0.760000	47.299999	90.199997	0.108116
0.765000	73.888031	39.910259	0.514878
0.770000	100.099998	45.650002	0.467657
0.775000	137.500000	13.750000	0.198969
0.780000	6.019874	5.150181	0.656471
0.785000	102.963806	20.968283	0.787007
0.790000	66.800751	38.990150	0.710791
0.795000	8.250000	85.250000	0.595849
0.800000	75.900002	62.150002	0.654634
0.805000	48.950001	49.500000	0.632024
0.810000	29.700001	6.050000	2.109055
0.815000	68.199997	37.950001	0.621465
0.820000	64.349998	66.000000	0.439360
0.825000	128.149994	41.799999	1.172929
0.830000	40.700001	14.300000	0.547947
0.835000	69.849998	29.700001	0.540291
0.840000	35.200001	3.300000	1.324173
0.845000	96.800003	34.650002	0.386231
0.850000	93.500000	103.894615	1.020137
0.855000	97.528702	24.392603	1.067144
0.860000	94.599998	18.700001	0.555619
0.865000	88.629478	53.405636	0.731031
0.870000	99.550003	35.200001	1.330249
0.875000	79.149925	60.999924	0.834896
0.880000	81.075302	55.640121	0.805823
0.885000	85.250000	38.500000	0.542528
0.890000	37.950001	59.400002	4.031039
0.895000	100.650002	18.700001	1.858720
0.900000	90.199997	34.099998	0.784061
0.905000	6.050000	34.650002	0.767822
0.910000	84.150002	3.850000	0.739137
0.915000	101.051636	41.840164	1.265571
0.920000	125.400002	84.699997	0.591304
0.925000	67.099998	46.200001	1.373198
0.930000	98.408447	23.784475	0.638245
0.935000	94.705574	24.305576	1.143932
0.940000	46.750000	70.400002	0.279074
0.945000	84.150002	106.150002	1.331039
0.950000	90.199997	20.900000	0.732828
0.955000	101.750000	33.549999	1.039442
0.960000	83.599998	19.799999	0.277216
0.965000	57.200001	30.250000	0.560340
0.970000	132.000000	7.700000	0.552050
0.975000	50.049999	84.150002	0.489811
0.980000	68.750000	46.750000	0.446361
0.985000	98.449997	19.250000	1.549848
0.990000	94.050003	30.799999	0.638670
0.995000	95.699997	23.100000	0.436854
1.000000	100.644981	56.700199	0.834903
1.005000	102.849998	37.400002	1.361616
1.010000	98.513618	32.450001	0.382560
1.015000	98.108284	24.687515	0.937306
1.020000	100.650002	30.250000	0.291270
1.025000	104.500000	30.250000	1.363974
1.030000	49.500000	54.450001	0.586678
1.035000	120.449997	8.250000	1.647761
1.040000	107.250000	26.950001	0.561602
1.045000	127.050003	85.250000	0.935448
1.050000	130.350006	54.450001	0.214564
1.055000	125.949997	8.800000	0.814309
1.060000	101.750000	23.650000	1.197665
1.065000	92.949997	72.599998	0.596845
1.070000	96.250000	24.200001	0.803790
1.075000	101.750000	78.650002	0.433238
1.080000	122.099998	101.750000	0.902588
1.085000	97.900002	26.950001	0.685427
1.090000	100.099998	74.800003	0.792543
1.095000	92.949997	26.099642	0.744362
1.100000	109.449997	52.250000	0.785214
1.105000	100.795364	64.692337	0.477320
1.110000	107.800003	67.099998	0.670981
1.115000	124.849998	36.849998	0.428135
1.120000	80.849998	48.950001	1.217918
1.125000	84.150002	23.100000	0.738363
1.130000	90.750000	24.200001	0.914363
1.135000	96.997704	0.105163	0.408973
1.140000	90.750000	27.500000	0.788943
1.145000	89.132133	14.850000	0.789689
1.150000	136.943130	48.927128	0.239617
1.155000	100.170502	36.871151	0.737991
1.160000	114.329559	51.770435	-0.201131
1.165000	128.149994	46.750000	0.775946
1.170000	109.935745	57.039356	2.317069
1.175000	113.336525	29.821749	0.903686
1.180000	112.750000	85.800003	0.646090
1.185000	108.221069	25.739491	0.670807
1.190000	101.750000	24.750000	0.530260
1.195000	62.150002	40.700001	0.255275
1.200000	66.000000	33.549999	0.773267
1.205000	64.900002	57.200001	0.267167
1.210000	67.650002	35.200001	-0.065142
1.215000	35.200001	3.850000	0.735453
1.220000	96.830589	22.174175	0.406344
1.225000	69.230682	99.413315	0.145892
1.230000	100.650002	4.400000	0.436563
1.235000	94.599998	23.100000	0.416208
1.240000	55.400974	84.604904	1.107969
1.245000	82.500000	80.300003	0.660365
1.250000	96.376678	31.900000	0.749786
1.255000	88.124229	76.627464	0.976886
1.260000	107.077194	23.021938	0.729636
1.265000	53.349998	84.699997	0.623841
1.270000	96.250000	69.300003	0.482346
1.275000	108.349998	66.000000	0.372301
1.280000	64.900002	74.250000	0.332752
1.285000	74.889473	88.652367	0.767484
1.290000	108.349998	57.200001	0.751542
1.295000	96.800003	83.050003	0.638631
1.300000	72.599998	83.050003	0.701953
1.305000	94.599998	88.000000	0.937104
1.310000	54.450001	75.349998	0.717417
1.315000	93.500000	83.599998	1.350623
1.320000	84.420570	66.468826	0.720521
1.325000	95.699997	77.494110	0.741679
1.330000	95.150002	77.000000	0.622318
1.335000	88.160439	84.198128	0.638241
1.340000	87.074570	109.699387	1.579179
1.345000	99.000000	95.150002	0.677560
1.350000	89.086014	106.132011	1.230382
1.355000	83.599998	71.500000	0.943987
1.360000	98.449997	72.050003	0.441731
