This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv:
Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	0.128906
0.550000	0.124699
1.100000	0.119759
1.650000	0.110390
2.200000	0.107432
2.750000	0.104200
3.300000	0.101495
3.850000	0.096327
4.400000	0.090764
4.950000	0.086187
5.500000	0.084089
6.050000	0.084695
6.600000	0.085758
7.150000	0.086232
7.700000	0.087536
8.250000	0.092718
8.800000	0.092195
9.350000	0.084484
9.900000	0.074143
10.450000	0.067893
11.000000	0.070537
11.550000	0.075741
12.100000	0.079319
12.650000	0.081847
13.200000	0.078967
13.750000	0.075729
14.300000	0.069215
14.850000	0.069372
15.400000	0.075795
15.950000	0.083826
16.500000	0.084499
17.050000	0.063472
17.600000	0.068211
18.150000	0.074450
18.700000	0.067393
19.250000	0.058282
19.800000	0.053380
20.350000	0.048385
20.900000	0.041970
21.450000	0.050845
22.000000	0.056014
22.550000	0.058844
23.100000	0.058417
23.650000	0.057846
24.200000	0.061617
24.750000	0.056002
25.300000	0.057092
25.850000	0.052877
26.400000	0.057671
26.950000	0.058301
27.500000	0.063625
28.050000	0.063661
28.600000	0.066311
29.150000	0.065446
29.700000	0.071323
30.250000	0.068811
30.800000	0.070231
31.350000	0.075517
31.900000	0.076126
32.450000	0.068991
33.000000	0.068650
33.550000	0.066721
34.100000	0.066529
34.650000	0.066237
35.200000	0.065303
35.750000	0.064357
36.300000	0.063831
36.850000	0.062559
37.400000	0.062076
37.950000	0.066076
38.500000	0.068179
39.050000	0.071688
39.600000	0.073799
40.150000	0.076779
40.700000	0.077924
41.250000	0.078091
41.800000	0.080341
42.350000	0.080892
42.900000	0.078824
43.450000	0.081582
44.000000	0.083497
44.550000	0.084722
45.100000	0.084390
45.650000	0.082497
46.200000	0.077936
46.750000	0.077870
47.300000	0.078621
47.850000	0.081512
48.400000	0.082192
48.950000	0.075998
49.500000	0.077548
50.050000	0.074845
50.600000	0.077689
51.150000	0.079103
51.700000	0.080106
52.250000	0.081826
52.800000	0.081256
53.350000	0.081043
53.900000	0.080121
54.450000	0.080709
55.000000	0.079616
55.550000	0.078095
56.100000	0.078125
56.650000	0.073924
57.200000	0.078719
57.750000	0.073798
58.300000	0.078365
58.850000	0.080270
59.400000	0.079450
59.950000	0.084666
60.500000	0.085256
61.050000	0.085388
61.600000	0.081832
62.150000	0.061483
62.700000	0.074082
63.250000	0.073440
63.800000	0.056632
64.350000	0.070285
64.900000	0.069648
65.450000	0.068249
66.000000	0.071765
66.550000	0.074839
67.100000	0.073589
67.650000	0.073390
68.200000	0.075789
68.750000	0.078959
69.300000	0.079012
69.850000	0.078738
70.400000	0.076778
70.950000	0.073637
71.500000	0.068291
