This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	150.656921
0.550000	127.493019
1.100000	104.939499
1.650000	104.939499
2.200000	66.119362
2.750000	66.119362
3.300000	17.060106
3.850000	16.571804
4.400000	16.571804
4.950000	16.571804
5.500000	16.571804
6.050000	16.083500
6.600000	16.083500
7.150000	16.083500
7.700000	15.778310
8.250000	14.664368
8.800000	13.168938
9.350000	15.030595
9.900000	15.030595
10.450000	15.534159
11.000000	15.534159
11.550000	15.534159
12.100000	15.885126
12.650000	15.930905
13.200000	15.930905
13.750000	15.930905
14.300000	15.793570
14.850000	15.869867
15.400000	18.845467
15.950000	20.981796
16.500000	23.133383
17.050000	24.430439
17.600000	24.430439
18.150000	24.430439
18.700000	20.905499
19.250000	20.905499
19.800000	20.905499
20.350000	23.377535
20.900000	24.888224
21.450000	27.207666
22.000000	28.825172
22.550000	28.825172
23.100000	28.825172
23.650000	28.687838
24.200000	27.985901
24.750000	29.740742
25.300000	29.740742
25.850000	29.740742
26.400000	28.764133
26.950000	26.566769
27.500000	26.566769
28.050000	26.566769
28.600000	27.116110
29.150000	32.533226
29.700000	32.533226
30.250000	32.533226
30.800000	31.480324
31.350000	31.480324
31.900000	31.480324
32.450000	52.904644
33.000000	57.253597
33.550000	57.253597
34.100000	52.904644
34.650000	46.114170
35.200000	24.415180
35.750000	19.593182
36.300000	19.745777
36.850000	20.752903
37.400000	20.752903
37.950000	19.593182
38.500000	21.546396
39.050000	21.546396
39.600000	21.546396
40.150000	23.011307
40.700000	21.409061
41.250000	21.225946
41.800000	21.225946
42.350000	21.225946
42.900000	21.225946
43.450000	20.066227
44.000000	19.059099
44.550000	54.995193
45.100000	135.992554
45.650000	135.992554
46.200000	135.992554
46.750000	104.710602
47.300000	22.339890
47.850000	38.209759
48.400000	22.339890
48.950000	22.339890
49.500000	22.309370
50.050000	22.309370
50.600000	21.958403
51.150000	17.792562
51.700000	17.792562
52.250000	17.792562
52.800000	18.189310
53.350000	20.173042
53.900000	21.164909
54.450000	21.164909
55.000000	21.164909
55.550000	18.631834
56.100000	16.587063
56.650000	15.671494
57.200000	15.671494
57.750000	15.335785
58.300000	16.571804
58.850000	18.250347
59.400000	20.112005
59.950000	22.431446
60.500000	22.431446
61.050000	22.873972
61.600000	23.224939
62.150000	26.566769
62.700000	28.840431
63.250000	31.037798
63.800000	32.167000
64.350000	37.813011
64.900000	45.152824
65.450000	45.152824
66.000000	45.152824
66.550000	384.218628
67.100000	384.218628
67.650000	384.218628
68.200000	22.172035
68.750000	24.506737
69.300000	25.025560
69.850000	25.025560
70.400000	25.025560
70.950000	23.865839
71.500000	22.965528
72.050000	21.485359
72.600000	21.485359
73.150000	21.668472
73.700000	22.797674
74.250000	24.659332
74.800000	26.627806
75.350000	26.673584
75.900000	26.658325
76.450000	26.658325
77.000000	25.117117
77.550000	25.620680
78.100000	25.803793
78.650000	25.834312
79.200000	24.644072
79.750000	24.644072
80.300000	23.789541
80.850000	25.086597
81.400000	25.086597
81.950000	28.092716
82.500000	32.456928
83.050000	34.028656
83.600000	34.028656
84.150000	34.028656
84.700000	34.135475
85.250000	34.135475
85.800000	34.135475
86.350000	24.399921
86.900000	22.446707
87.450000	25.727495
88.000000	32.960495
88.550000	35.981873
89.100000	40.330826
89.650000	48.860878
90.200000	48.860878
90.750000	48.860878
91.300000	41.627884
91.850000	37.050037
92.400000	26.063206
92.950000	23.881098
93.500000	23.881098
94.050000	23.881098
94.600000	21.637953
95.150000	19.547403
95.700000	18.113012
96.250000	17.762043
96.800000	17.411076
97.350000	17.289000
97.900000	14.771184
98.450000	14.145545
99.000000	13.931912
99.550000	14.832222
100.100000	15.183190
100.650000	16.754917
101.200000	17.243221
101.750000	17.823082
102.300000	17.823082
102.850000	17.823082
103.400000	16.327652
103.950000	15.839348
104.500000	15.839348
105.050000	14.359178
105.600000	13.138419
106.150000	13.062121
106.700000	13.062121
107.250000	13.062121
107.800000	13.397830
108.350000	13.062121
108.900000	13.062121
109.450000	13.107900
110.000000	13.107900
110.550000	13.107900
