This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter angle theta:
	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
minimum	2.288371
maximum	359.852417
average	139.485779
median	92.815781
time
1.520000	219.135284
1.525000	32.789352
1.530000	265.641205
1.535000	282.519257
1.540000	312.213684
1.545000	108.967751
1.550000	37.754047
1.555000	2.288371
1.560000	309.478821
1.565000	220.779541
1.570000	179.754715
1.575000	84.795853
1.580000	203.717087
1.585000	261.874084
1.590000	245.633926
1.595000	118.558762
1.600000	56.403313
1.605000	33.363914
1.610000	60.967197
1.615000	128.948334
1.620000	70.406128
1.625000	341.671570
1.630000	280.168243
1.635000	223.864456
1.640000	233.292618
1.645000	72.017220
1.650000	238.397430
1.655000	102.562553
1.660000	321.128723
1.665000	239.982254
1.670000	252.160141
1.675000	213.938202
1.680000	150.049118
1.685000	26.349298
1.690000	272.552338
1.695000	81.929947
1.700000	219.298340
1.705000	306.280548
1.710000	72.141357
1.715000	58.736317
1.720000	65.037048
1.725000	100.466095
1.730000	105.190460
1.735000	247.534882
1.740000	116.164482
1.745000	76.411285
1.750000	122.362457
1.755000	343.241669
1.760000	270.422638
1.765000	142.004349
1.770000	82.010208
1.775000	116.126877
1.780000	77.507004
1.785000	73.311150
1.790000	70.382202
1.795000	65.754356
1.800000	280.942749
1.805000	272.593262
1.810000	276.167969
1.815000	266.406158
1.820000	63.523869
1.825000	65.308266
1.830000	91.259819
1.835000	87.527916
1.840000	31.439302
1.845000	229.809357
1.850000	65.984055
1.855000	232.703003
1.860000	87.040352
1.865000	141.773666
1.870000	77.201256
1.875000	88.311501
1.880000	88.606735
1.885000	81.758537
1.890000	73.966103
1.895000	71.916695
1.900000	86.010002
1.905000	73.564339
1.910000	68.144951
1.915000	67.928055
1.920000	257.416534
1.925000	157.292267
1.930000	75.723755
1.935000	76.275597
1.940000	78.224686
1.945000	74.053101
1.950000	93.013321
1.955000	93.513031
1.960000	85.084671
1.965000	118.496857
1.970000	122.146088
1.975000	170.374573
1.980000	74.744881
1.985000	67.682938
1.990000	79.614426
1.995000	6.856517
