This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter max Intensity in head:
	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
minimum	2.306896
maximum	236.354431
average	54.312729
median	9.127947
time
1.570000	4.549900
1.575000	6.386793
1.580000	5.507007
1.585000	
1.590000	16.876883
1.595000	6.718443
1.600000	4.333743
1.605000	5.353804
1.610000	7.151889
1.615000	4.162924
1.620000	4.316590
1.625000	5.486729
1.630000	3.811199
1.635000	4.414533
1.640000	4.806708
1.645000	8.862478
1.650000	5.421346
1.655000	3.734597
1.660000	5.425725
1.665000	5.685307
1.670000	7.815414
1.675000	4.539103
1.680000	6.871059
1.685000	4.043107
1.690000	4.196789
1.695000	6.191844
1.700000	4.333107
1.705000	5.345061
1.710000	5.839616
1.715000	6.872496
1.720000	40.113670
1.725000	49.724415
1.730000	52.808060
1.735000	74.061050
1.740000	35.118988
1.745000	51.222099
1.750000	26.387266
1.755000	71.902832
1.760000	115.535088
1.765000	50.679527
1.770000	72.051155
1.775000	52.180737
1.780000	40.069843
1.785000	41.576050
1.790000	67.947220
1.795000	67.565102
1.800000	101.209496
1.805000	116.218651
1.810000	118.598099
1.815000	91.926720
1.820000	120.010063
1.825000	119.803467
1.830000	70.144661
1.835000	49.507061
1.840000	90.679474
1.845000	90.885513
1.850000	97.098640
1.855000	91.158813
1.860000	63.618580
1.865000	90.692970
1.870000	83.243584
1.875000	110.860107
1.880000	117.451141
1.885000	51.984367
1.890000	75.198715
1.895000	80.072906
1.900000	36.790970
1.905000	43.088146
1.910000	99.505310
1.915000	134.748276
1.920000	227.410950
1.925000	112.658989
1.930000	236.354431
1.935000	234.915726
1.940000	81.517822
1.945000	127.533005
1.950000	113.401520
1.955000	106.835358
1.960000	102.893211
1.965000	104.552933
1.970000	106.918755
1.975000	106.161079
1.980000	114.995941
1.985000	118.800896
1.990000	52.039047
1.995000	66.157524
