This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter head coordinates:
	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359		
time	X	Y	Z (fit width)
0.755000	44.000000	55.549999	0.508078
0.760000	72.599998	44.549999	0.529162
0.765000	108.349998	36.849998	0.654140
0.770000	70.400002	41.250000	0.764921
0.775000	63.250000	39.599998	-0.180135
0.780000	42.349998	78.650002	0.333267
0.785000	88.550003	81.949997	0.701343
0.790000	51.729244	63.805847	1.182552
0.795000	49.500000	64.349998	0.358398
0.800000	66.007156	102.845703	1.268611
0.805000	75.177544	92.798981	0.554599
0.810000	67.099998	100.650002	0.000000
0.815000			
0.820000	74.372208	101.872208	1.892026
0.825000			
0.830000			
0.835000	68.199997	105.599998	1.890916
0.840000			
0.845000	68.199997	101.750000	1.224903
0.850000	76.608826	102.311760	0.945735
0.855000	69.300003	104.500000	1.435209
0.860000			
0.865000	73.150002	97.349998	1.052410
0.870000	86.900002	99.000000	0.534758
0.875000	74.250000	99.550003	0.936981
0.880000	67.650002	102.849998	-0.105983
0.885000	74.250000	101.199997	0.769451
0.890000	78.650002	101.750000	3.710975
0.895000	76.449997	103.400002	6.962931
0.900000	75.900002	102.300003	-0.075247
0.905000	74.788734	100.969116	0.044713
0.910000	76.449997	102.300003	0.000000
0.915000	75.900002	101.199997	2.544504
0.920000	76.449997	97.900002	9.692475
0.925000	77.000000	101.750000	8.992999
0.930000	80.427246	101.683746	1.328640
0.935000	75.167198	100.429680	1.029764
0.940000	82.500000	107.800003	0.837059
0.945000	74.896751	101.130890	1.470016
0.950000	75.349998	103.949997	0.841313
0.955000	74.649406	101.439354	1.134322
0.960000	76.449997	96.800003	0.986899
0.965000	73.150002	99.000000	1.088858
0.970000	74.904808	102.195190	1.560539
0.975000	74.943489	100.259430	0.718915
0.980000	71.614441	98.286514	1.059824
0.985000	72.599998	99.000000	0.909031
0.990000	73.217255	99.437912	1.170414
0.995000	73.066925	99.092308	1.263389
1.000000	74.435875	100.278244	1.364473
1.005000	74.544075	99.805923	1.240835
1.010000	76.297501	102.171501	-0.452681
1.015000	76.016319	100.331635	1.988273
1.020000	74.800003	97.900002	0.937895
1.025000	74.800003	98.449997	0.981080
1.030000	87.449997	102.300003	2.017490
1.035000	76.696419	102.300003	1.756615
1.040000	77.000000	102.300003	1.864424
1.045000	77.550003	101.750000	1.712943
1.050000	78.282616	102.281738	1.766916
1.055000	78.650002	103.949997	2.157634
1.060000	81.212570	111.101227	1.230389
1.065000	78.498672	101.245399	1.567538
1.070000	78.824608	101.697617	1.301959
1.075000	78.705353	101.750000	1.583329
1.080000	78.234207	101.199997	1.616383
1.085000	78.221741	101.199997	1.676504
1.090000	77.550003	103.400002	2.180872
1.095000	78.099998	103.949997	2.177465
1.100000	77.550003	103.400002	2.051975
1.105000	78.099998	104.500000	2.189240
1.110000	78.099998	104.500000	2.099237
1.115000	78.650002	105.599998	2.232705
1.120000	78.650002	105.599998	2.217537
1.125000	79.199997	106.699997	2.366072
1.130000	79.310654	103.938934	1.749810
1.135000	79.390373	103.342888	1.479716
1.140000	79.526802	103.301964	1.290488
1.145000	79.265656	102.843437	1.182301
1.150000	79.477859	102.458778	1.181193
1.155000	79.750000	106.150002	0.987900
1.160000	79.199997	101.750000	0.797617
1.165000	79.199997	102.300003	0.758365
1.170000	78.650002	101.199997	0.801121
1.175000	78.566231	101.758377	0.785707
1.180000	78.099998	101.750000	0.801726
1.185000	78.978355	104.221252	1.223240
1.190000			
1.195000	78.811600	101.271156	1.020502
1.200000	79.449471	104.640053	-8.827219
1.205000	79.199997	105.599998	0.402325
1.210000	79.750000	104.500000	1.743379
1.215000	79.946602	103.659325	0.730648
1.220000	79.199997	102.300003	0.472879
1.225000	79.199997	100.650002	0.519019
1.230000	79.199997	100.650002	0.544271
1.235000	79.199997	101.750000	0.530359
1.240000	76.040894	98.132736	0.656005
1.245000	81.949997	126.500000	1.519935
1.250000	73.150002	125.400002	0.968805
1.255000	83.050003	137.500000	0.277350
1.260000	69.048470	132.522049	0.630812
1.265000	71.549629	76.751839	1.227132
1.270000	55.549999	91.849998	0.401549
1.275000	81.050774	127.154770	0.722679
1.280000	78.650002	102.300003	0.727734
1.285000	78.482384	99.985283	0.563855
1.290000	63.547432	82.474747	0.716535
1.295000	77.762695	100.099998	0.671907
1.300000	76.449997	96.250000	0.619963
1.305000	86.900002	127.050003	7.531954
1.310000	75.349998	104.500000	0.889541
1.315000	79.199997	102.300003	0.611548
1.320000	103.949997	59.400002	1.999303
1.325000	71.798920	87.910324	0.677025
1.330000	73.229584	89.477043	0.782722
1.335000	87.987015	92.959740	0.543020
1.340000	39.049999	128.149994	1.476974
1.345000	66.000000	77.000000	0.581427
1.350000	116.050003	132.550003	0.534575
1.355000	21.450001	131.449997	0.515980
1.360000	101.750000	106.699997	0.525824
1.365000	58.849998	122.650002	0.988518
1.370000	107.800003	42.349998	0.545854
1.375000	129.250000	99.550003	0.776228
1.380000	89.650002	127.599998	1.025623
1.385000	106.150002	120.449997	0.466961
1.390000	35.200001	51.700001	1.443413
1.395000	101.343758	99.999367	0.875860
1.400000	46.750000	137.500000	0.282005
1.405000	115.500000	109.449997	0.681417
1.410000	88.733330	137.683334	0.272730
1.415000	96.914986	15.490046	0.847390
1.420000	26.400000	131.449997	-0.165120
1.425000	12.100000	118.250000	1.156945
1.430000	101.750000	87.449997	0.480393
1.435000	88.550003	127.599998	0.481211
1.440000	30.250000	96.800003	0.697301
1.445000	53.209206	94.842072	0.223669
1.450000	136.399994	129.250000	0.361917
1.455000	103.434471	136.605301	0.554956
1.460000	137.500000	121.000000	0.254904
1.465000	134.750000	83.050003	0.616896
1.470000	69.849998	85.250000	0.529358
1.475000	92.949997	90.750000	0.811737
1.480000	121.000000	79.750000	0.535228
1.485000	72.671608	73.827965	0.863053
1.490000	76.449997	103.400002	0.380492
1.495000	67.099998	42.900002	0.437974
1.500000	136.336288	82.500000	0.479615
1.505000	47.849998	130.350006	0.531033
1.510000	69.849998	89.099998	0.546481
1.515000	90.199997	101.750000	0.645750
1.520000	100.650002	111.099998	0.802059
1.525000	27.500000	115.500000	0.513270
1.530000	54.450001	86.349998	0.288583
1.535000	106.699997	19.250000	0.376097
1.540000	101.750000	134.199997	0.518694
1.545000	24.200001	42.900002	0.438781
1.550000	46.200001	115.500000	0.600122
1.555000	98.449997	100.099998	1.015701
1.560000	63.799999	50.049999	0.938232
1.565000	51.333332	137.683334	0.407737
1.570000	46.750000	105.050003	0.659924
1.575000	65.449997	105.599998	0.412702
1.580000	86.900002	67.099998	2.862112
1.585000	6.600000	137.500000	0.286755
1.590000	78.790909	102.367729	0.661139
1.595000	79.008408	101.989159	2.227617
1.600000	101.199997	73.150002	0.527860
1.605000	16.500000	122.650002	0.563198
1.610000	56.192387	51.469036	0.627953
1.615000	37.950001	100.650002	0.265702
1.620000	72.599998	88.550003	0.389059
1.625000	35.200001	53.349998	0.609212
1.630000	42.349998	53.900002	1.661851
1.635000	44.549999	52.250000	0.579622
1.640000	88.550003	88.550003	0.979070
1.645000	74.580536	93.367783	0.828673
1.650000	7.364040	114.890404	3.634588
1.655000	20.350000	30.799999	0.437834
1.660000	60.883102	63.075523	1.948287
1.665000	92.949997	18.700001	0.743799
1.670000	73.121338	94.336609	0.789988
1.675000	66.000000	50.049999	0.422189
1.680000	48.950001	74.250000	0.478410
1.685000	26.950001	128.149994	4.332877
1.690000	64.900002	79.199997	0.649567
1.695000	76.589401	94.063942	0.383786
1.700000	91.940269	46.659729	0.797285
1.705000	55.000000	10.450000	0.496965
1.710000	73.699997	90.199997	0.422066
1.715000	84.699997	103.949997	0.852752
1.720000	80.300003	107.800003	1.038395
1.725000	75.900002	110.000000	0.485890
1.730000	76.449997	109.449997	0.570828
1.735000	81.496613	111.047966	0.744300
1.740000	77.550003	106.699997	0.806511
1.745000	80.300003	108.900002	0.800476
1.750000	77.550003	106.150002	0.908714
1.755000	79.845078	111.864395	1.250978
1.760000	79.180931	113.252327	1.264587
1.765000	79.111877	109.744751	0.000000
1.770000	78.650002	109.449997	0.575983
