This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter head coordinates:
	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348		
time	X	Y	Z (fit width)
0.000000	54.844906	71.500000	1.020135
0.005000	55.113750	70.949997	1.030998
0.010000	55.328640	71.500000	-0.694027
0.015000	55.000000	72.050003	-0.126625
0.020000	61.049999	71.500000	0.728599
0.025000	60.754730	70.400002	0.587547
0.030000	61.599998	71.500000	1.371582
0.035000	61.599998	72.050003	1.878467
0.040000	62.150002	72.050003	1.737521
0.045000	62.150002	72.599998	2.148325
0.050000	62.150002	70.949997	1.795621
0.055000	62.150002	70.949997	1.704730
0.060000	62.151085	70.784676	1.610965
0.065000	61.651176	70.219650	0.922627
0.070000	60.500000	69.849998	0.735901
0.075000	55.368484	70.289452	0.724911
0.080000	55.120266	69.849998	0.859964
0.085000	54.964870	70.403511	1.067655
0.090000	55.549999	68.750000	0.908726
0.095000	54.624378	70.400002	1.182442
0.100000	54.568069	69.849998	1.135825
0.105000	54.380116	70.400002	1.218593
0.110000	55.128910	68.788673	0.977453
0.115000	55.549999	69.300003	0.920116
0.120000	55.006096	69.849998	0.972058
0.125000	55.549999	69.300003	0.657416
0.130000	60.500000	69.300003	0.952174
0.135000	58.849998	68.750000	0.877094
0.140000	61.139668	69.300003	1.060095
0.145000	61.392418	69.747276	1.151743
0.150000	61.884857	69.849998	1.257409
0.155000	61.599998	70.949997	1.626994
0.160000	61.599998	70.400002	1.673274
0.165000	61.599998	69.849998	1.574543
0.170000	61.599998	68.750000	1.339350
0.175000	61.648659	69.120399	1.031735
0.180000	60.500000	68.750000	0.756621
0.185000	55.464596	68.750000	0.802863
0.190000	55.125179	68.225037	0.904902
0.195000	55.609802	67.685883	0.928386
0.200000	54.225529	69.849998	1.300466
0.205000	54.066147	69.800156	1.498229
0.210000	53.900002	69.300003	1.762659
0.215000	53.900002	69.300003	1.613866
0.220000	53.900002	69.849998	1.442065
0.225000	54.450001	69.300003	1.391011
0.230000	54.690159	68.199997	1.118970
0.235000	54.727657	68.750000	1.101806
0.240000	55.673851	67.650002	0.775618
0.245000	55.000000	68.750000	0.689576
0.250000	60.500000	68.199997	0.583606
0.255000	60.671047	67.598686	0.844718
0.260000	61.813038	68.750000	1.402528
0.265000	61.599998	69.849998	1.428501
0.270000	61.599998	68.199997	1.292123
0.275000	61.599998	68.750000	1.546077
0.280000	61.599998	68.750000	1.464326
0.285000	61.814651	68.199997	1.332340
0.290000	61.105534	67.644447	1.028749
0.295000	58.299999	66.000000	1.514851
0.300000	55.314571	66.982285	0.914578
0.305000	55.380718	66.448433	1.093949
0.310000	54.132492	68.199997	1.292463
0.315000	53.900002	68.199997	1.737188
0.320000	53.900002	68.750000	1.714261
0.325000	53.900002	68.199997	1.774659
0.330000	53.900002	68.750000	1.998773
0.335000	53.900002	68.199997	1.745396
0.340000	53.900002	68.199997	1.512786
0.345000	53.900002	67.650002	1.665293
0.350000	54.458481	67.099998	1.375840
0.355000	54.512020	67.650002	1.166694
0.360000	55.259109	66.375465	1.017791
0.365000	55.549999	66.550003	0.640544
0.370000	59.950001	66.550003	0.626737
0.375000	57.750000	66.000000	0.885090
0.380000	60.231804	66.080460	1.036698
0.385000	61.670998	67.650002	1.216787
0.390000	61.693310	67.099998	1.387338
0.395000	61.599998	68.199997	1.605161
0.400000	60.888157	65.767105	1.202761
0.405000	60.812359	65.906296	0.907413
0.410000	58.849998	75.349998	1.845847
0.415000	56.099998	65.449997	0.815249
0.420000	54.594742	67.099998	1.270660
0.425000	54.450001	65.449997	1.417615
0.430000	53.900002	67.099998	1.580018
0.435000	54.488281	65.692970	1.773781
0.440000	53.900002	67.650002	2.168669
0.445000	53.900002	67.099998	2.028098
0.450000	53.900002	67.099998	1.690407
0.455000	55.000000	64.900002	1.405218
0.460000	55.000000	66.000000	1.617202
0.465000	54.579990	65.874001	1.370552
0.470000	54.899395	65.969818	1.229574
0.475000	55.822666	65.283600	1.177228
0.480000	57.750000	75.900002	1.746809
0.485000	57.750000	75.349998	1.768596
0.490000	59.738701	64.984520	0.860852
0.495000	60.646545	65.362076	1.200099
0.500000	59.400002	65.449997	0.959822
0.505000	61.743683	66.341896	1.408332
0.510000	61.599998	67.099998	1.691101
0.515000	61.729176	66.346245	1.781875
0.520000	60.824558	64.705261	1.148016
0.525000	67.650002	47.299999	0.858033
0.530000	126.500000	78.099998	2.350452
0.535000	55.907162	63.665012	1.212455
0.540000	55.015511	64.029305	1.615960
0.545000	54.450001	65.449997	1.941407
0.550000	54.450001	65.449997	2.159476
0.555000	53.900002	64.900002	2.290774
0.560000	53.900002	65.449997	1.990095
0.565000	53.900002	65.449997	1.837425
0.570000	54.450001	65.449997	1.880958
0.575000	55.465733	63.199440	1.502925
0.580000	55.576195	63.265717	1.500665
0.585000	55.056168	64.355614	1.190211
0.590000	58.299999	63.799999	0.751146
0.595000	60.500000	69.849998	1.121689
0.600000	60.500000	69.849998	1.230862
0.605000	57.200001	74.250000	1.555904
0.610000	133.100006	51.700001	1.054552
0.615000	61.230274	64.900002	1.278809
0.620000	60.265209	63.610874	1.172785
0.625000	72.599998	45.099998	0.428285
0.630000	79.199997	60.500000	0.554018
0.635000	63.755646	101.767738	0.857468
0.640000	58.299999	62.700001	0.628061
0.645000	54.787655	63.186295	1.724084
0.650000	54.450001	64.349998	1.987517
0.655000	53.900002	64.349998	2.455635
0.660000	53.900002	64.349998	2.449571
0.665000	53.349998	64.349998	2.730741
0.670000	53.349998	64.900002	2.978331
0.675000	53.349998	64.900002	2.683795
0.680000	53.900002	64.900002	2.416295
0.685000	53.900002	63.799999	2.665835
0.690000	53.900002	63.799999	2.234328
0.695000	54.450001	63.250000	2.029463
0.700000	55.000000	63.799999	2.056179
0.705000	55.285732	62.541443	1.585809
0.710000	55.960430	62.066257	1.542439
0.715000	59.400002	63.250000	0.619111
0.720000	60.500000	68.199997	0.821590
0.725000	54.934166	68.743416	0.757188
0.730000	61.049999	69.300003	0.931247
0.735000	57.200001	73.150002	1.585849
0.740000	73.699997	52.799999	0.438710
0.745000	58.299999	72.050003	1.687026
0.750000	58.849998	71.500000	1.785198
0.755000	45.650002	55.000000	0.527569
0.760000	91.849998	62.150002	0.124169
0.765000	58.849998	71.500000	1.370621
0.770000	64.849960	92.400002	0.875967
0.775000	54.450001	62.700001	2.433363
0.780000	54.450001	62.150002	2.783716
0.785000	54.450001	62.700001	2.790493
0.790000	53.900002	62.700001	2.865991
0.795000	53.900002	62.700001	2.797254
0.800000	54.450001	62.700001	2.557532
0.805000	54.450001	62.150002	2.389685
0.810000	55.000000	61.599998	2.251632
0.815000	55.122051	61.343231	1.965082
0.820000	59.400002	63.250000	0.000000
0.825000	60.500000	66.000000	0.000000
0.830000	60.500000	66.000000	0.000000
0.835000	60.500000	67.099998	0.000000
0.840000	103.400002	86.349998	5.981375
0.845000	60.500000	66.000000	2.838820
0.850000	57.200001	70.949997	1.265760
0.855000	48.950001	17.600000	0.709490
0.860000	70.400002	99.000000	0.002404
0.865000	58.299999	63.250000	0.000000
0.870000	86.349998	69.300003	0.486741
0.875000	20.963921	39.619175	0.802441
0.880000	58.567936	69.185173	1.448836
0.885000	55.549999	61.599998	2.243668
0.890000	59.400002	64.900002	-0.147947
0.895000	59.950001	65.449997	4.551451
0.900000	55.035946	66.491402	1.056603
0.905000	55.000000	61.049999	2.677761
0.910000	59.400002	63.621170	1.147706
0.915000	55.549999	61.049999	2.606731
0.920000	55.513802	61.798283	2.242471
0.925000	59.950001	64.349998	0.000000
0.930000	57.200001	61.599998	1.449991
0.935000	57.750000	62.150002	1.292156
0.940000	59.950001	64.900002	0.000000
0.945000	56.650002	68.750000	1.538700
0.950000	59.950001	62.150002	0.000000
0.955000	60.500000	62.700001	1.799584
0.960000	61.049999	62.700001	2.720038
0.965000	61.599998	61.599998	2.458139
0.970000	61.049999	62.150002	2.300017
0.975000	59.950001	62.150002	4.314972
0.980000	58.849998	62.150002	12.796846
0.985000	50.599998	40.150002	0.649556
0.990000	57.750000	60.500000	1.959886
0.995000	56.650002	59.950001	2.227088
1.000000	56.650002	59.950001	2.111226
1.005000	56.099998	59.950001	2.341611
1.010000	55.549999	59.400002	2.668333
1.015000	55.549999	59.950001	2.722000
1.020000	58.299999	66.550003	1.823421
1.025000	55.549999	59.400002	2.570589
1.030000	56.099998	59.950001	2.265151
1.035000	56.650002	59.950001	2.238531
1.040000	38.500000	84.699997	-0.293602
1.045000	57.750000	59.950001	2.376701
1.050000	57.750000	61.049999	7.538864
1.055000	90.750000	65.449997	0.485409
1.060000	59.400002	61.049999	12.558453
1.065000	60.500000	61.049999	-4.655852
1.070000	61.049999	61.049999	4.150864
1.075000	62.150002	59.950001	2.208036
1.080000	62.150002	59.400002	2.927561
1.085000	62.150002	59.950001	2.494914
1.090000	62.150002	59.400002	2.310952
1.095000	61.599998	60.500000	4.509410
1.100000	60.500000	59.400002	4.892146
1.105000	59.400002	59.400002	8.990071
1.110000	58.299999	58.849998	5.140536
1.115000	57.750000	58.299999	2.820202
1.120000	57.200001	57.750000	2.608763
1.125000	56.650002	57.750000	2.878212
1.130000	56.650002	57.750000	3.028658
1.135000	56.099998	57.200001	2.764764
1.140000	56.099998	57.750000	2.679179
1.145000	56.099998	57.200001	3.109332
1.150000	56.650002	57.750000	2.987682
1.155000	57.200001	57.200001	3.078244
1.160000	57.750000	56.099998	2.548431
1.165000	58.299999	59.400002	3.762724
1.170000	42.349998	46.750000	0.739710
1.175000	59.950001	58.299999	2.918012
1.180000	60.500000	58.849998	3.674911
1.185000	61.049999	59.400002	2.732005
1.190000	62.150002	58.299999	2.712936
1.195000	62.700001	58.849998	2.439084
1.200000	62.700001	58.849998	2.516278
1.205000	62.700001	57.750000	2.822643
1.210000	62.150002	57.750000	3.739042
1.215000	61.049999	57.200001	5.336651
1.220000	59.400002	56.650002	3.149951
1.225000	58.849998	56.650002	3.410008
1.230000	57.750000	56.099998	2.699210
1.235000	57.200001	56.099998	2.843604
1.240000	56.650002	56.099998	3.451224
1.245000	56.650002	55.549999	2.884707
1.250000	56.099998	56.099998	3.091505
1.255000	55.549999	55.549999	2.972262
1.260000	55.549999	55.549999	3.060787
1.265000	56.099998	55.549999	3.002042
1.270000	56.650002	56.099998	2.887928
1.275000	57.200001	56.099998	3.437717
1.280000	57.750000	56.099998	3.240539
1.285000	58.299999	56.099998	3.293945
1.290000	58.849998	55.549999	2.584785
1.295000	59.950001	56.650002	2.567250
1.300000	60.500000	56.099998	3.329712
1.305000	61.049999	56.650002	3.013307
1.310000	62.150002	55.549999	2.748086
1.315000	62.150002	56.650002	3.456331
1.320000	62.700001	55.549999	3.070343
1.325000	62.150002	56.099998	3.816241
1.330000	61.049999	55.549999	4.005750
1.335000	59.950001	55.000000	2.924624
1.340000	58.849998	54.450001	3.226262
1.345000	58.299999	54.450001	2.932723
1.350000	57.750000	55.000000	2.994371
1.355000	57.200001	53.900002	2.868530
1.360000	56.650002	54.450001	2.760314
1.365000	56.650002	53.900002	3.028425
1.370000	56.099998	52.799999	2.872379
1.375000	56.099998	52.799999	3.088945
1.380000	56.650002	54.450001	2.890823
1.385000	56.650002	53.349998	2.665553
1.390000	57.200001	55.000000	2.712775
1.395000	57.750000	55.000000	2.653489
1.400000	58.299999	53.900002	3.303142
1.405000	58.849998	53.900002	3.197199
