This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	27.955381
0.550000	29.618666
1.100000	31.205652
1.650000	31.205652
2.200000	31.205652
2.750000	28.779394
3.300000	25.254452
3.850000	22.477224
4.400000	18.906506
4.950000	16.861734
5.500000	13.474128
6.050000	11.520913
6.600000	8.972579
7.150000	7.751820
7.700000	7.110921
8.250000	6.103795
8.800000	4.883036
9.350000	4.135321
9.900000	3.906429
10.450000	3.769094
11.000000	3.265530
11.550000	2.792486
12.100000	2.792486
12.650000	2.792486
13.200000	2.884043
13.750000	3.112936
14.300000	3.204492
14.850000	3.280790
15.400000	3.448644
15.950000	3.616498
16.500000	3.708055
17.050000	4.211618
17.600000	4.471030
18.150000	4.501549
18.700000	4.638884
19.250000	4.638884
19.800000	4.760960
20.350000	4.760960
20.900000	5.142447
21.450000	5.142447
22.000000	5.478156
22.550000	5.905422
23.100000	5.905422
23.650000	5.905422
24.200000	5.905422
24.750000	5.905422
25.300000	5.905422
25.850000	5.234004
26.400000	5.234004
26.950000	5.234004
27.500000	5.279783
28.050000	5.279783
28.600000	5.783346
29.150000	5.951200
29.700000	6.790472
30.250000	7.385592
30.800000	7.507668
31.350000	7.507668
31.900000	8.057010
32.450000	8.057010
33.000000	8.057010
33.550000	8.514794
