This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter head velocity (in 2D):
	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
minimum	0.000000
maximum	84.178757
average	4.618672
median	0.777817
time
1.505000	0.550000
1.510000	0.550000
1.515000	0.000000
1.520000	0.777817
1.525000	0.777817
1.530000	19.516516
1.535000	20.388763
1.540000	0.777817
1.545000	1.229837
1.550000	0.777817
1.555000	0.777817
1.560000	0.550000
1.565000	1.229837
1.570000	1.229837
1.575000	1.229837
1.580000	1.229837
1.585000	1.229837
1.590000	0.550000
1.595000	0.550000
1.600000	0.777817
1.605000	0.000000
1.610000	0.550000
1.615000	0.777817
1.620000	1.229837
1.625000	0.000000
1.630000	0.777817
1.635000	0.000000
1.640000	1.229837
1.645000	0.777817
1.650000	0.550000
1.655000	0.777817
1.660000	1.100000
1.665000	0.550000
1.670000	1.100000
1.675000	0.777817
1.680000	0.777817
1.685000	1.229837
1.690000	0.550000
1.695000	1.650000
1.700000	1.229837
1.705000	0.777817
1.710000	0.550000
1.715000	2.267708
1.720000	0.550000
1.725000	1.650000
1.730000	0.777817
1.735000	0.550000
1.740000	0.550000
1.745000	1.739253
1.750000	1.229837
1.755000	1.229837
1.760000	1.229837
1.765000	0.550000
1.770000	1.229837
1.775000	1.100000
1.780000	1.555635
1.785000	0.550000
1.790000	0.777817
1.795000	0.550000
1.800000	1.229837
1.805000	1.229837
1.810000	1.555635
1.815000	0.777817
1.820000	0.777817
1.825000	0.777817
1.830000	0.777817
1.835000	0.550000
1.840000	0.550000
1.845000	0.550000
1.850000	1.555635
1.855000	0.550000
1.860000	0.777817
1.865000	0.000000
1.870000	1.229837
1.875000	1.229837
1.880000	0.777817
1.885000	1.229837
1.890000	0.550000
1.895000	0.000000
1.900000	0.777817
1.905000	0.777817
1.910000	1.229837
1.915000	0.000000
1.920000	0.000000
1.925000	1.100000
1.930000	1.100000
1.935000	1.983053
1.940000	1.100000
1.945000	0.550000
1.950000	0.550000
1.955000	0.550000
1.960000	0.777817
1.965000	0.777817
1.970000	0.777817
1.975000	0.777817
1.980000	0.550000
1.985000	0.777817
1.990000	1.739253
1.995000	1.229837
