This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	133.322830
0.550000	138.672073
1.100000	138.711548
1.650000	138.345703
2.200000	75.862274
2.750000	75.606361
3.300000	45.021408
3.850000	43.713573
4.400000	30.883154
4.950000	28.856146
5.500000	25.386169
6.050000	22.448376
6.600000	19.948933
7.150000	18.375233
7.700000	17.430662
8.250000	16.280127
8.800000	15.318476
9.350000	13.846657
9.900000	12.121196
10.450000	10.762038
11.000000	9.575974
11.550000	9.051534
12.100000	8.438573
12.650000	8.125031
13.200000	7.876325
13.750000	7.629212
14.300000	7.507061
14.850000	7.526040
15.400000	7.592772
15.950000	7.648116
16.500000	7.694122
17.050000	7.733523
17.600000	8.031349
18.150000	8.226762
18.700000	8.268289
19.250000	8.428475
19.800000	8.989812
20.350000	9.284677
20.900000	9.932332
21.450000	10.781170
22.000000	11.595540
22.550000	12.031917
23.100000	12.147919
23.650000	12.123397
24.200000	11.942257
24.750000	11.829975
25.300000	11.801885
25.850000	11.916977
26.400000	12.262111
26.950000	12.280966
27.500000	11.510904
28.050000	10.605171
28.600000	10.587723
29.150000	10.612322
29.700000	10.812423
30.250000	10.935522
30.800000	11.501576
31.350000	11.544178
31.900000	11.892179
32.450000	12.181408
33.000000	12.215219
33.550000	11.584131
