This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
peak height of primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	148.947861
0.550000	153.785110
1.100000	153.785110
1.650000	153.785110
2.200000	90.183571
2.750000	90.183571
3.300000	53.621838
3.850000	53.621838
4.400000	39.171104
4.950000	37.111073
5.500000	31.358248
6.050000	28.474203
6.600000	28.642057
7.150000	28.642057
7.700000	28.642057
8.250000	28.642057
8.800000	28.642057
9.350000	26.932995
9.900000	23.438574
10.450000	19.776297
11.000000	16.327652
11.550000	14.115026
12.100000	13.092640
12.650000	12.238109
13.200000	11.429357
13.750000	10.666382
14.300000	10.010223
14.850000	9.643996
15.400000	9.445622
15.950000	8.957319
16.500000	9.247250
17.050000	9.750813
17.600000	10.498528
18.150000	10.788458
18.700000	10.788458
19.250000	10.880014
19.800000	11.627729
20.350000	11.627729
20.900000	11.627729
21.450000	12.222850
22.000000	13.626722
22.550000	14.359178
23.100000	14.359178
23.650000	14.359178
24.200000	14.298140
24.750000	14.298140
25.300000	14.298140
25.850000	14.298140
26.400000	14.298140
26.950000	14.069247
27.500000	13.245235
28.050000	11.871881
28.600000	11.871881
29.150000	11.871881
29.700000	12.283888
30.250000	12.283888
30.800000	13.641982
31.350000	13.641982
31.900000	13.641982
32.450000	14.191323
33.000000	14.710146
33.550000	14.710146
